longitude,latitude,deff
-153.7,61.565,-0
-153.88,61.586,-32
-153.63,61.557,-2
-154.32,61.635,-19
-153.88,61.585,-51
-153.71,61.566,-13
-154.04,61.604,6.7
-153.69,61.564,5.4
-154.39,61.643,3.5
-153.63,61.557,-8
-153.88,61.586,-40
-153.89,61.587,-31
-153.55,61.549,-19
-153.44,61.536,6
-153.7,61.566,-0
-153.88,61.586,-51
-154,61.6,-6
-154.14,61.616,4.6
-153.89,61.587,-36
-154.3,61.634,-20
-153.5,61.544,-13
-153.89,61.588,-24
-154.27,61.63,-19
-153.76,61.573,2.6
-153.37,61.528,15
-154.38,61.642,-8
-154.36,61.64,-10
-153.88,61.587,-49
-153.88,61.587,-53
-153.47,61.54,-21
-154.45,61.651,1.1
-154.29,61.633,-20
-154.02,61.603,-12
-154.02,61.603,-10
-154,61.601,-16
-154.27,61.631,-22
-153.76,61.574,-2
-154.44,61.649,1.6
-154.36,61.642,-18
-154.27,61.631,-34
-154.37,61.642,-12
-154.36,61.642,-8
-153.63,61.56,13
-153.63,61.56,5.5
-153.35,61.528,5.9
-154.27,61.632,-21
-154.35,61.641,-12
-153.89,61.59,-24
-153.32,61.524,21
-154.04,61.606,9
-153.89,61.59,-33
-154.4,61.647,11
-154.4,61.647,2.4
-154.33,61.639,-24
-154,61.602,-20
-154.39,61.645,-6
-154,61.603,-11
-154.36,61.643,-11
-153.38,61.532,0.4
-153.89,61.591,-17
-153.32,61.525,7.6
-154.25,61.631,-24
-153.76,61.576,-4
-154.44,61.651,-0
-154.03,61.606,-17
-153.78,61.579,-27
-154.13,61.618,-7
-154.44,61.651,2.7
-153.35,61.529,10
-153.89,61.591,-36
-153.89,61.591,-57
-154.03,61.606,-21
-154.03,61.606,-21
-153.99,61.602,-10
-153.9,61.592,-13
-153.44,61.54,15
-154.13,61.619,-5
-154.4,61.648,3.6
-154.34,61.641,-25
-153.99,61.603,0.3
-154.35,61.642,-27
-154.02,61.606,-20
-153.92,61.595,-29
-154.11,61.616,-0
-153.9,61.592,-8
-153.58,61.557,7.7
-154.37,61.645,-11
-154.46,61.654,-10
-153.88,61.591,-50
-153.78,61.579,-24
-154.07,61.612,1
-153.44,61.541,10
-154.12,61.618,-10
-154.4,61.649,2.7
-153.48,61.545,6.2
-154.04,61.608,-1
-154.35,61.643,-17
